========================================================
  Multi-seed benchmark: ms=3, 2M steps
  Algos: ['PPO']
  Seeds: [0, 1, 42]
  Total runs: 3
  Started: 2026-03-03 07:29:13
========================================================

--------------------------------------------------------
  [1/3]  PPO  seed=0
  07:29:13
--------------------------------------------------------

=======================================================
  billiards-rl — PPO  |  2,000,000 steps  |  seed 0  |  env multi3(ms=3)
  exp_dir : logs/experiments/PPO_2000k_s0_multi3_ms3_sp0.1_tp1.0_20260303_072913
=======================================================

[1/3] Random agent baseline (500 episodes)...
      Random pocket rate: 8.6%  (avg 0.26/3 balls)

[2/3] Training PPO — 2,000,000 steps × 10 envs ...
/Users/yj/Documents/billiards-rl/.venv/lib/python3.13/site-packages/stable_baselines3/common/callbacks.py:418: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.subproc_vec_env.SubprocVecEnv object at 0x11545e510> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x116bf5a90>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
[ETA] step  520,000 / 2,000,000 (26.0%)  elapsed 4.5m  ETA 00:12:45  fps 1935
[ETA] step  530,000 / 2,000,000 (26.5%)  elapsed 4.6m  ETA 00:12:38  fps 1939
[ETA] step  540,000 / 2,000,000 (27.0%)  elapsed 4.6m  ETA 00:12:31  fps 1944
[ETA] step  550,000 / 2,000,000 (27.5%)  elapsed 4.7m  ETA 00:12:23  fps 1949
[ETA] step  560,000 / 2,000,000 (28.0%)  elapsed 4.8m  ETA 00:12:16  fps 1954
[ETA] step  570,000 / 2,000,000 (28.5%)  elapsed 4.9m  ETA 00:12:10  fps 1959
[ETA] step  580,000 / 2,000,000 (29.0%)  elapsed 4.9m  ETA 00:12:03  fps 1964
[ETA] step  590,000 / 2,000,000 (29.5%)  elapsed 5.0m  ETA 00:11:56  fps 1968
[ETA] step  600,000 / 2,000,000 (30.0%)  elapsed 5.1m  ETA 00:11:49  fps 1973
[ETA] step  610,000 / 2,000,000 (30.5%)  elapsed 5.1m  ETA 00:11:43  fps 1975
[ETA] step  620,000 / 2,000,000 (31.0%)  elapsed 5.2m  ETA 00:11:37  fps 1977
[ETA] step  630,000 / 2,000,000 (31.5%)  elapsed 5.3m  ETA 00:11:32  fps 1979
[ETA] step  640,000 / 2,000,000 (32.0%)  elapsed 5.4m  ETA 00:11:26  fps 1982
[ETA] step  650,000 / 2,000,000 (32.5%)  elapsed 5.5m  ETA 00:11:20  fps 1983
[ETA] step  660,000 / 2,000,000 (33.0%)  elapsed 5.5m  ETA 00:11:14  fps 1987
[ETA] step  670,000 / 2,000,000 (33.5%)  elapsed 5.6m  ETA 00:11:09  fps 1985
[ETA] step  680,000 / 2,000,000 (34.0%)  elapsed 5.7m  ETA 00:11:02  fps 1992
[ETA] step  690,000 / 2,000,000 (34.5%)  elapsed 5.8m  ETA 00:10:55  fps 1999
[ETA] step  700,000 / 2,000,000 (35.0%)  elapsed 5.8m  ETA 00:10:48  fps 2004
[ETA] step  710,000 / 2,000,000 (35.5%)  elapsed 5.9m  ETA 00:10:41  fps 2010
[ETA] step  720,000 / 2,000,000 (36.0%)  elapsed 6.0m  ETA 00:10:35  fps 2014
[ETA] step  730,000 / 2,000,000 (36.5%)  elapsed 6.0m  ETA 00:10:28  fps 2022
[ETA] step  740,000 / 2,000,000 (37.0%)  elapsed 6.1m  ETA 00:10:20  fps 2029
[ETA] step  750,000 / 2,000,000 (37.5%)  elapsed 6.1m  ETA 00:10:14  fps 2035
[ETA] step  760,000 / 2,000,000 (38.0%)  elapsed 6.2m  ETA 00:10:07  fps 2041
[ETA] step  770,000 / 2,000,000 (38.5%)  elapsed 6.3m  ETA 00:10:00  fps 2048
[ETA] step  780,000 / 2,000,000 (39.0%)  elapsed 6.3m  ETA 00:09:53  fps 2055
[ETA] step  790,000 / 2,000,000 (39.5%)  elapsed 6.4m  ETA 00:09:47  fps 2061
[ETA] step  800,000 / 2,000,000 (40.0%)  elapsed 6.4m  ETA 00:09:40  fps 2068
[ETA] step  810,000 / 2,000,000 (40.5%)  elapsed 6.5m  ETA 00:09:33  fps 2076
[ETA] step  820,000 / 2,000,000 (41.0%)  elapsed 6.6m  ETA 00:09:26  fps 2083
[ETA] step  830,000 / 2,000,000 (41.5%)  elapsed 6.6m  ETA 00:09:19  fps 2091
[ETA] step  840,000 / 2,000,000 (42.0%)  elapsed 6.7m  ETA 00:09:13  fps 2097
[ETA] step  850,000 / 2,000,000 (42.5%)  elapsed 6.7m  ETA 00:09:06  fps 2104
[ETA] step  860,000 / 2,000,000 (43.0%)  elapsed 6.8m  ETA 00:08:59  fps 2113
[ETA] step  870,000 / 2,000,000 (43.5%)  elapsed 6.8m  ETA 00:08:52  fps 2120
[ETA] step  880,000 / 2,000,000 (44.0%)  elapsed 6.9m  ETA 00:08:46  fps 2127
[ETA] step  890,000 / 2,000,000 (44.5%)  elapsed 7.0m  ETA 00:08:40  fps 2133
[ETA] step  900,000 / 2,000,000 (45.0%)  elapsed 7.0m  ETA 00:08:34  fps 2140
[ETA] step  910,000 / 2,000,000 (45.5%)  elapsed 7.1m  ETA 00:08:28  fps 2145
[ETA] step  920,000 / 2,000,000 (46.0%)  elapsed 7.2m  ETA 00:08:25  fps 2137
[ETA] step  930,000 / 2,000,000 (46.5%)  elapsed 7.2m  ETA 00:08:19  fps 2142
[ETA] step  940,000 / 2,000,000 (47.0%)  elapsed 7.3m  ETA 00:08:14  fps 2146
[ETA] step  950,000 / 2,000,000 (47.5%)  elapsed 7.4m  ETA 00:08:08  fps 2151
[ETA] step  960,000 / 2,000,000 (48.0%)  elapsed 7.4m  ETA 00:08:02  fps 2157
[ETA] step  970,000 / 2,000,000 (48.5%)  elapsed 7.5m  ETA 00:07:56  fps 2162
[ETA] step  980,000 / 2,000,000 (49.0%)  elapsed 7.5m  ETA 00:07:50  fps 2167
[ETA] step  990,000 / 2,000,000 (49.5%)  elapsed 7.6m  ETA 00:07:44  fps 2173
[ETA] step 1,000,000 / 2,000,000 (50.0%)  elapsed 7.7m  ETA 00:07:39  fps 2178
[ETA] step 1,010,000 / 2,000,000 (50.5%)  elapsed 7.7m  ETA 00:07:33  fps 2184
[ETA] step 1,020,000 / 2,000,000 (51.0%)  elapsed 7.8m  ETA 00:07:28  fps 2187
[ETA] step 1,030,000 / 2,000,000 (51.5%)  elapsed 7.8m  ETA 00:07:22  fps 2192
[ETA] step 1,040,000 / 2,000,000 (52.0%)  elapsed 7.9m  ETA 00:07:16  fps 2197
[ETA] step 1,050,000 / 2,000,000 (52.5%)  elapsed 7.9m  ETA 00:07:11  fps 2201
[ETA] step 1,060,000 / 2,000,000 (53.0%)  elapsed 8.0m  ETA 00:07:06  fps 2204
[ETA] step 1,070,000 / 2,000,000 (53.5%)  elapsed 8.1m  ETA 00:07:01  fps 2208
[ETA] step 1,080,000 / 2,000,000 (54.0%)  elapsed 8.1m  ETA 00:06:55  fps 2214
[ETA] step 1,090,000 / 2,000,000 (54.5%)  elapsed 8.2m  ETA 00:06:50  fps 2219
[ETA] step 1,100,000 / 2,000,000 (55.0%)  elapsed 8.2m  ETA 00:06:44  fps 2224
[ETA] step 1,110,000 / 2,000,000 (55.5%)  elapsed 8.3m  ETA 00:06:39  fps 2230
[ETA] step 1,120,000 / 2,000,000 (56.0%)  elapsed 8.3m  ETA 00:06:33  fps 2236
[ETA] step 1,130,000 / 2,000,000 (56.5%)  elapsed 8.4m  ETA 00:06:28  fps 2241
[ETA] step 1,140,000 / 2,000,000 (57.0%)  elapsed 8.5m  ETA 00:06:22  fps 2247
[ETA] step 1,150,000 / 2,000,000 (57.5%)  elapsed 8.5m  ETA 00:06:17  fps 2252
[ETA] step 1,160,000 / 2,000,000 (58.0%)  elapsed 8.6m  ETA 00:06:12  fps 2257
[ETA] step 1,170,000 / 2,000,000 (58.5%)  elapsed 8.6m  ETA 00:06:06  fps 2262
[ETA] step 1,180,000 / 2,000,000 (59.0%)  elapsed 8.7m  ETA 00:06:01  fps 2267
[ETA] step 1,190,000 / 2,000,000 (59.5%)  elapsed 8.7m  ETA 00:05:56  fps 2273
[ETA] step 1,200,000 / 2,000,000 (60.0%)  elapsed 8.8m  ETA 00:05:51  fps 2277
[ETA] step 1,210,000 / 2,000,000 (60.5%)  elapsed 8.8m  ETA 00:05:46  fps 2283
[ETA] step 1,220,000 / 2,000,000 (61.0%)  elapsed 8.9m  ETA 00:05:41  fps 2287
[ETA] step 1,230,000 / 2,000,000 (61.5%)  elapsed 8.9m  ETA 00:05:35  fps 2292
[ETA] step 1,240,000 / 2,000,000 (62.0%)  elapsed 9.0m  ETA 00:05:30  fps 2297
[ETA] step 1,250,000 / 2,000,000 (62.5%)  elapsed 9.1m  ETA 00:05:25  fps 2302
[ETA] step 1,260,000 / 2,000,000 (63.0%)  elapsed 9.1m  ETA 00:05:20  fps 2306
[ETA] step 1,270,000 / 2,000,000 (63.5%)  elapsed 9.2m  ETA 00:05:15  fps 2311
[ETA] step 1,280,000 / 2,000,000 (64.0%)  elapsed 9.2m  ETA 00:05:10  fps 2317
[ETA] step 1,290,000 / 2,000,000 (64.5%)  elapsed 9.3m  ETA 00:05:05  fps 2321
[ETA] step 1,300,000 / 2,000,000 (65.0%)  elapsed 9.3m  ETA 00:05:00  fps 2326
[ETA] step 1,310,000 / 2,000,000 (65.5%)  elapsed 9.4m  ETA 00:04:56  fps 2330
[ETA] step 1,320,000 / 2,000,000 (66.0%)  elapsed 9.4m  ETA 00:04:51  fps 2335
[ETA] step 1,330,000 / 2,000,000 (66.5%)  elapsed 9.5m  ETA 00:04:46  fps 2339
[ETA] step 1,340,000 / 2,000,000 (67.0%)  elapsed 9.5m  ETA 00:04:41  fps 2344
[ETA] step 1,350,000 / 2,000,000 (67.5%)  elapsed 9.6m  ETA 00:04:36  fps 2348
[ETA] step 1,360,000 / 2,000,000 (68.0%)  elapsed 9.6m  ETA 00:04:32  fps 2352
[ETA] step 1,370,000 / 2,000,000 (68.5%)  elapsed 9.7m  ETA 00:04:27  fps 2357
[ETA] step 1,380,000 / 2,000,000 (69.0%)  elapsed 9.7m  ETA 00:04:22  fps 2361
[ETA] step 1,390,000 / 2,000,000 (69.5%)  elapsed 9.8m  ETA 00:04:18  fps 2364
[ETA] step 1,400,000 / 2,000,000 (70.0%)  elapsed 9.9m  ETA 00:04:13  fps 2368
[ETA] step 1,410,000 / 2,000,000 (70.5%)  elapsed 9.9m  ETA 00:04:08  fps 2372
[ETA] step 1,420,000 / 2,000,000 (71.0%)  elapsed 10.0m  ETA 00:04:04  fps 2375
[ETA] step 1,430,000 / 2,000,000 (71.5%)  elapsed 10.0m  ETA 00:03:59  fps 2379
[ETA] step 1,440,000 / 2,000,000 (72.0%)  elapsed 10.1m  ETA 00:03:55  fps 2382
[ETA] step 1,450,000 / 2,000,000 (72.5%)  elapsed 10.1m  ETA 00:03:50  fps 2386
[ETA] step 1,460,000 / 2,000,000 (73.0%)  elapsed 10.2m  ETA 00:03:46  fps 2389
[ETA] step 1,470,000 / 2,000,000 (73.5%)  elapsed 10.2m  ETA 00:03:41  fps 2393
[ETA] step 1,480,000 / 2,000,000 (74.0%)  elapsed 10.3m  ETA 00:03:36  fps 2397
[ETA] step 1,490,000 / 2,000,000 (74.5%)  elapsed 10.3m  ETA 00:03:32  fps 2401
[ETA] step 1,500,000 / 2,000,000 (75.0%)  elapsed 10.4m  ETA 00:03:27  fps 2405
[ETA] step 1,510,000 / 2,000,000 (75.5%)  elapsed 10.4m  ETA 00:03:23  fps 2410
[ETA] step 1,520,000 / 2,000,000 (76.0%)  elapsed 10.5m  ETA 00:03:18  fps 2414
[ETA] step 1,530,000 / 2,000,000 (76.5%)  elapsed 10.5m  ETA 00:03:14  fps 2418
[ETA] step 1,540,000 / 2,000,000 (77.0%)  elapsed 10.6m  ETA 00:03:09  fps 2422
[ETA] step 1,550,000 / 2,000,000 (77.5%)  elapsed 10.7m  ETA 00:03:05  fps 2425
[ETA] step 1,560,000 / 2,000,000 (78.0%)  elapsed 10.7m  ETA 00:03:01  fps 2429
[ETA] step 1,570,000 / 2,000,000 (78.5%)  elapsed 10.8m  ETA 00:02:56  fps 2433
[ETA] step 1,580,000 / 2,000,000 (79.0%)  elapsed 10.8m  ETA 00:02:52  fps 2437
[ETA] step 1,590,000 / 2,000,000 (79.5%)  elapsed 10.9m  ETA 00:02:48  fps 2440
[ETA] step 1,600,000 / 2,000,000 (80.0%)  elapsed 10.9m  ETA 00:02:43  fps 2444
